date,newCasesByPublishDate,standard,t,growthrate,ln2/gr,sdgr,ln2/sdgr,LN2/SDGR,log
2020/1/31,2,0.4286,1,-100.00%,-0.693147181,0,0,0,0
2020/2/1,0,0.4286,2,0.00%,0,0,0,0,0
2020/2/2,0,0.4286,3,0.00%,0,0,0,0,0
2020/2/3,0,0.4286,4,0.00%,0,-0.666588894,-1.039842078,1.039842078,0.016967388
2020/2/4,0,0.1429,5,0.00%,0,0,0,0,0
2020/2/5,0,0.1429,6,0.00%,0,0.99930021,0.693632578,0.693632578,-0.158870517
2020/2/6,1,0.2857,7,-100.00%,-0.693147181,2,0.34657359,0.34657359,-0.460204535
2020/2/7,0,0.8571,8,0.00%,0,0,0,0,0
2020/2/8,0,0.8571,9,0.00%,0,0,0,0,0
2020/2/9,1,0.8571,10,300.00%,0.23104906,0,0,0,0
2020/2/10,4,0.8571,11,-100.00%,-0.693147181,0,0,0,0
2020/2/11,0,0.8571,12,0.00%,0,0,0,0,0
2020/2/12,0,0.8571,13,0.00%,0,-0.16660833,-4.160339275,4.160339275,0.619128749
2020/2/13,1,0.7143,14,-100.00%,-0.693147181,-0.799944001,-0.866494629,0.866494629,-0.062234125
2020/2/14,0,0.1429,15,0.00%,0,0,0,0,0
2020/2/15,0,0.1429,16,0.00%,0,0,0,0,0
2020/2/16,0,0.1429,17,0.00%,0,-1,-0.693147181,0.693147181,-0.159174539
2020/2/17,0,0,18,0.00%,0,0,0,0,0
2020/2/18,0,0,19,0.00%,0,0,0,0,0
2020/2/19,0,0,20,0.00%,0,0,0,0,0
2020/2/20,0,0,21,0.00%,0,0,0,0,0
2020/2/21,0,0.5714,22,0.00%,0,0,0,0,0
2020/2/22,0,0.5714,23,0.00%,0,0,0,0,0
2020/2/23,0,0.5714,24,0.00%,0,0,0,0,0
2020/2/24,4,0.5714,25,-100.00%,-0.693147181,1.500175009,0.462044213,0.462044213,-0.335316465
2020/2/25,0,1.4286,26,0.00%,0,0.399972001,1.732989258,1.732989258,0.238795871
2020/2/26,0,2,27,0.00%,0,0.85715,0.808664972,0.808664972,-0.092231368
2020/2/27,0,3.7143,28,0.00%,0,0.038446006,18.02910765,18.02910765,1.255974232
2020/2/28,6,3.8571,29,-33.33%,-2.079441542,0.407430453,1.701265027,1.701265027,0.230771974
2020/2/29,4,5.4286,30,200.00%,0.34657359,0.894724238,0.774704821,0.774704821,-0.110863741
2020/3/1,12,10.2857,31,-58.33%,-1.18825231,0.402782504,1.720896945,1.720896945,0.235754864
2020/3/2,5,14.4286,32,120.00%,0.57762265,0.39603981,1.750195721,1.750195721,0.243086618
2020/3/3,11,20.1429,33,209.09%,0.331505173,0.297871707,2.326999057,2.326999057,0.366796207
2020/3/4,34,26.1429,34,-14.71%,-4.713400828,0.289615919,2.393332465,2.393332465,0.379003032
2020/3/5,29,33.7143,35,58.62%,1.182427543,0.190678733,3.635157264,3.635157264,0.560523204
2020/3/6,46,40.1429,36,0.00%,0,0.14590625,4.750633924,4.750633924,0.676751566
2020/3/7,46,46,37,41.30%,1.678145806,0.152173913,4.554967187,4.554967187,0.658485253
2020/3/8,65,53,38,-23.08%,-3.003637782,0.283018868,2.449120038,2.449120038,0.389010072
2020/3/9,50,68,39,4.00%,17.32867951,0.338235294,2.049304708,2.049304708,0.311606538
2020/3/10,52,91,40,59.62%,1.162698496,0.34222967,2.025385993,2.025385993,0.306507802
2020/3/11,83,122.1429,41,61.45%,1.128063059,0.309941061,2.236383842,2.236383842,0.349546346
2020/3/12,134,160,42,54.48%,1.272352359,0.09107125,7.611042789,7.611042789,0.881444164
2020/3/13,207,174.5714,43,27.54%,2.517218708,0.290507494,2.38598726,2.38598726,0.37766812
2020/3/14,264,225.2857,44,25.00%,2.772588722,0.376030525,1.843326897,1.843326897,0.26560236
2020/3/15,330,310,45,-53.94%,-1.285048144,0.234562258,2.955066967,2.955066967,0.470567327
2020/3/16,152,382.7143,46,167.76%,0.413170084,0.189249788,3.6626048,3.6626048,0.56379006
2020/3/17,407,455.1429,47,66.09%,1.048739414,0.241996085,2.864290883,2.864290883,0.457017121
2020/3/18,676,565.2857,48,-4.88%,-14.19901497,0.084660199,8.187403132,8.187403132,0.913146175
2020/3/19,643,613.1429,49,11.04%,6.27737517,0.189888034,3.65029415,3.65029415,0.562327862
2020/3/20,714,729.5714,50,44.96%,1.541766626,0.199725894,3.470492319,3.470492319,0.540391088
2020/3/21,1035,875.2857,51,-35.75%,-1.938938735,0.126652589,5.472822831,5.472822831,0.738211389
2020/3/22,665,986.1429,52,45.41%,1.526300911,0.2152687,3.21991623,3.21991623,0.507844573
