location,date,total_cases,new_cases,smoothed
France,2020/1/24,2,2,0.714
France,2020/1/25,3,1,0.714
France,2020/1/26,3,0,0.714
France,2020/1/27,3,0,0.714
France,2020/1/28,4,1,0.714
France,2020/1/29,5,1,0.714
France,2020/1/30,5,0,0.714
France,2020/1/31,5,0,0.429
France,2020/2/1,6,1,0.429
France,2020/2/2,6,0,0.429
France,2020/2/3,6,0,0.429
France,2020/2/4,6,0,0.286
France,2020/2/5,6,0,0.143
France,2020/2/6,6,0,0.143
France,2020/2/7,6,0,0.143
France,2020/2/8,11,5,0.714
France,2020/2/9,11,0,0.714
France,2020/2/10,11,0,0.714
France,2020/2/11,11,0,0.714
France,2020/2/12,11,0,0.714
France,2020/2/13,11,0,0.714
France,2020/2/14,11,0,0.714
France,2020/2/15,12,1,0.143
France,2020/2/16,12,0,0.143
France,2020/2/17,12,0,0.143
France,2020/2/18,12,0,0.143
France,2020/2/19,12,0,0.143
France,2020/2/20,12,0,0.143
France,2020/2/21,12,0,0.143
France,2020/2/22,12,0,0
France,2020/2/23,12,0,0
France,2020/2/24,12,0,0
France,2020/2/25,14,2,0.286
France,2020/2/26,18,4,0.857
France,2020/2/27,38,20,3.714
France,2020/2/28,57,19,6.429
France,2020/2/29,100,43,12.571
France,2020/3/1,130,30,16.857
France,2020/3/2,191,61,25.571
France,2020/3/3,212,21,28.286
France,2020/3/4,288,76,38.571
France,2020/3/5,426,138,55.429
France,2020/3/6,616,190,79.857
France,2020/3/7,948,332,121.143
France,2020/3/8,1125,177,142.143
France,2020/3/9,1411,286,174.286
France,2020/3/10,1783,372,224.429
France,2020/3/11,2293,510,286.429
France,2020/3/12,2293,0,266.714
France,2020/3/13,3681,1388,437.857
France,2020/3/14,4496,815,506.857
France,2020/3/15,4532,36,486.714
France,2020/3/16,6683,2151,753.143
France,2020/3/17,7715,1032,847.429
France,2020/3/18,9124,1409,975.857
France,2020/3/19,10970,1846,1239.571
France,2020/3/20,12758,1788,1296.714
France,2020/3/21,14463,1705,1423.857
France,2020/3/22,16758,2295,1746.571
France,2020/3/23,20123,3365,1920
France,2020/3/24,22372,2249,2093.857
France,2020/3/25,25334,2962,2315.714
France,2020/3/26,29252,3918,2611.714
France,2020/3/27,33047,3795,2898.429
France,2020/3/28,37692,4645,3318.429
France,2020/3/29,40295,2603,3362.429
France,2020/3/30,44649,4354,3503.714
France,2020/3/31,52278,7629,4272.286
France,2020/4/1,57122,4844,4541.143
France,2020/4/2,59228,2106,4282.286
France,2020/4/3,64452,5224,4486.429
France,2020/4/4,47378,-17074,1383.714
France,2020/4/5,48233,855,1134
France,2020/4/6,50887,2654,891.143
France,2020/4/7,47396,-3491,697.429
France,2020/4/8,51251,3855,838.714
France,2020/4/9,55035,3784,599
France,2020/4/10,56600,1565,1121.714
France,2020/4/11,58045,1445,1523.857
France,2020/4/12,108791,50746,8651.143
France,2020/4/13,111932,3141,8720.714
France,2020/4/14,129380,17448,11712
France,2020/4/15,132588,3208,11619.571
France,2020/4/16,145166,12578,12875.857
France,2020/4/17,147057,1891,12922.429
France,2020/4/18,150863,3806,13259.714
France,2020/4/19,151955,1092,6166.286
France,2020/4/20,154402,2447,6067.143
France,2020/4/21,157068,2666,3955.429
France,2020/4/22,158868,1800,3754.286
France,2020/4/23,157158,-1710,1713.143
France,2020/4/24,159969,2811,1844.571
France,2020/4/25,161647,1678,1540.571
France,2020/4/26,162280,633,1475
France,2020/4/27,165966,3686,1652
France,2020/4/28,169098,3132,1718.571
France,2020/4/29,167643,-1455,1253.571
France,2020/4/30,168861,1218,1671.857
France,2020/5/1,169387,526,1345.429
France,2020/5/2,170179,792,1218.857
France,2020/5/3,170540,361,1180
France,2020/5/4,171102,562,733.714
France,2020/5/5,172219,1117,445.857
France,2020/5/6,176355,4136,1244.571
France,2020/5/7,177096,741,1176.429
France,2020/5/8,177627,531,1177.143
France,2020/5/9,178156,529,1139.571
France,2020/5/10,178405,249,1123.571
France,2020/5/11,178719,314,1088.143
France,2020/5/12,179472,753,1036.143
France,2020/5/13,179993,521,519.714
France,2020/5/14,180635,642,505.571
France,2020/5/15,181148,513,503
France,2020/5/16,181563,415,486.714
France,2020/5/17,181703,140,471.143
France,2020/5/18,182147,444,489.714
France,2020/5/19,182648,501,453.714
France,2020/5/20,183130,482,448.143
France,2020/5/21,183397,267,394.571
France,2020/5/22,184153,756,429.286
France,2020/5/23,184699,546,448
France,2020/5/24,184260,-439,365.286
France,2020/5/25,184585,325,348.286
France,2020/5/26,184840,255,313.143
France,2020/5/27,185012,172,268.857
France,2020/5/28,188355,3343,708.286
France,2020/5/29,188949,594,685.143
France,2020/5/30,190744,1795,863.571
France,2020/5/31,190975,231,959.286
France,2020/6/1,191382,407,971
France,2020/6/2,190735,-647,842.143
France,2020/6/3,187509,-3226,356.714
France,2020/6/4,191869,4360,502
France,2020/6/5,192450,581,500.143
France,2020/6/6,193022,572,325.429
France,2020/6/7,193363,341,341.143
France,2020/6/8,193637,274,322.143
France,2020/6/9,194190,553,493.571
France,2020/6/10,194815,625,1043.714
France,2020/6/11,195179,364,472.857
France,2020/6/12,195981,802,504.429
France,2020/6/13,196478,497,493.714
France,2020/6/14,196868,390,500.714
France,2020/6/15,197004,136,481
France,2020/6/16,197667,663,496.714
France,2020/6/17,198155,488,477.143
France,2020/6/18,198741,586,508.857
France,2020/6/19,199528,787,506.714
France,2020/6/20,200147,619,524.143
France,2020/6/21,200490,343,517.429
France,2020/6/22,200632,142,518.286
France,2020/6/23,201330,698,523.286
France,2020/6/24,201598,268,491.857
France,2020/6/25,201853,255,444.571
France,2020/6/26,203116,1263,512.571
France,2020/6/27,203564,448,488.143
France,2020/6/28,203158,-406,381.143
France,2020/6/29,203803,645,453
France,2020/6/30,204244,441,416.286
France,2020/7/1,205234,990,519.429
France,2020/7/2,205773,539,560
France,2020/7/3,206312,539,456.571
France,2020/7/4,206670,358,443.714
France,2020/7/5,206681,11,503.286
France,2020/7/6,207699,1018,556.571
France,2020/7/7,208153,454,558.429
France,2020/7/8,208975,822,534.429
France,2020/7/9,209419,444,520.857
France,2020/7/10,210134,715,546
France,2020/7/11,210385,251,530.714
France,2020/7/12,210401,16,531.429
France,2020/7/13,211824,1423,589.286
France,2020/7/14,211886,62,533.286
France,2020/7/15,212613,727,519.714
France,2020/7/16,213182,569,537.571
France,2020/7/17,214011,829,553.857
France,2020/7/18,214174,163,541.286
France,2020/7/19,214178,4,539.571
