iso_code,continent,location,date,total_cases,new_cases,smoothed
DEU,Europe,Germany,2020/1/27,1,1,1.428571429
DEU,Europe,Germany,2020/1/28,4,3,1.428571429
DEU,Europe,Germany,2020/1/29,4,0,1.428571429
DEU,Europe,Germany,2020/1/30,4,0,1.428571429
DEU,Europe,Germany,2020/1/31,5,1,1.428571429
DEU,Europe,Germany,2020/2/1,8,3,1.143
DEU,Europe,Germany,2020/2/2,10,2,1.429
DEU,Europe,Germany,2020/2/3,12,2,1.571
DEU,Europe,Germany,2020/2/4,12,0,1.143
DEU,Europe,Germany,2020/2/5,12,0,1.143
DEU,Europe,Germany,2020/2/6,12,0,1.143
DEU,Europe,Germany,2020/2/7,13,1,1.143
DEU,Europe,Germany,2020/2/8,13,0,0.714
DEU,Europe,Germany,2020/2/9,14,1,0.571
DEU,Europe,Germany,2020/2/10,14,0,0.286
DEU,Europe,Germany,2020/2/11,16,2,0.571
DEU,Europe,Germany,2020/2/12,16,0,0.571
DEU,Europe,Germany,2020/2/13,16,0,0.571
DEU,Europe,Germany,2020/2/14,16,0,0.429
DEU,Europe,Germany,2020/2/15,16,0,0.429
DEU,Europe,Germany,2020/2/16,16,0,0.286
DEU,Europe,Germany,2020/2/17,16,0,0.286
DEU,Europe,Germany,2020/2/18,16,0,0
DEU,Europe,Germany,2020/2/19,16,0,0
DEU,Europe,Germany,2020/2/20,16,0,0
DEU,Europe,Germany,2020/2/21,16,0,0
DEU,Europe,Germany,2020/2/22,16,0,0
DEU,Europe,Germany,2020/2/23,16,0,0
DEU,Europe,Germany,2020/2/24,16,0,0
DEU,Europe,Germany,2020/2/25,17,1,0.143
DEU,Europe,Germany,2020/2/26,27,10,1.571
DEU,Europe,Germany,2020/2/27,46,19,4.286
DEU,Europe,Germany,2020/2/28,48,2,4.571
DEU,Europe,Germany,2020/2/29,79,31,9
DEU,Europe,Germany,2020/3/1,130,51,16.286
DEU,Europe,Germany,2020/3/2,159,29,20.429
DEU,Europe,Germany,2020/3/3,196,37,25.571
DEU,Europe,Germany,2020/3/4,262,66,33.571
DEU,Europe,Germany,2020/3/5,482,220,62.286
DEU,Europe,Germany,2020/3/6,670,188,88.857
DEU,Europe,Germany,2020/3/7,799,129,102.857
DEU,Europe,Germany,2020/3/8,1040,241,130
DEU,Europe,Germany,2020/3/9,1176,136,145.286
DEU,Europe,Germany,2020/3/10,1457,281,180.143
DEU,Europe,Germany,2020/3/11,1908,451,235.143
DEU,Europe,Germany,2020/3/12,2078,170,228
DEU,Europe,Germany,2020/3/13,3675,1597,429.286
DEU,Europe,Germany,2020/3/14,4585,910,540.857
DEU,Europe,Germany,2020/3/15,5795,1210,679.286
DEU,Europe,Germany,2020/3/16,7272,1477,870.857
DEU,Europe,Germany,2020/3/17,9257,1985,1114.286
DEU,Europe,Germany,2020/3/18,12327,3070,1488.429
DEU,Europe,Germany,2020/3/19,15320,2993,1891.714
DEU,Europe,Germany,2020/3/20,19848,4528,2310.429
DEU,Europe,Germany,2020/3/21,22213,2365,2518.286
DEU,Europe,Germany,2020/3/22,24873,2660,2725.429
DEU,Europe,Germany,2020/3/23,29056,4183,3112
DEU,Europe,Germany,2020/3/24,32986,3930,3389.857
DEU,Europe,Germany,2020/3/25,37323,4337,3570.857
DEU,Europe,Germany,2020/3/26,43938,6615,4088.286
DEU,Europe,Germany,2020/3/27,50871,6933,4431.857
DEU,Europe,Germany,2020/3/28,57695,6824,5068.857
DEU,Europe,Germany,2020/3/29,62095,4400,5317.429
DEU,Europe,Germany,2020/3/30,66885,4790,5404.143
DEU,Europe,Germany,2020/3/31,71808,4923,5546
DEU,Europe,Germany,2020/4/1,77872,6064,5792.714
DEU,Europe,Germany,2020/4/2,84794,6922,5836.571
DEU,Europe,Germany,2020/4/3,91159,6365,5755.429
DEU,Europe,Germany,2020/4/4,96092,4933,5485.286
DEU,Europe,Germany,2020/4/5,100123,4031,5432.571
DEU,Europe,Germany,2020/4/6,103374,3251,5212.714
DEU,Europe,Germany,2020/4/7,107663,4289,5122.143
DEU,Europe,Germany,2020/4/8,113296,5633,5060.571
DEU,Europe,Germany,2020/4/9,118181,4885,4769.571
DEU,Europe,Germany,2020/4/10,122171,3990,4430.286
DEU,Europe,Germany,2020/4/11,124908,2737,4116.571
DEU,Europe,Germany,2020/4/12,127854,2946,3961.571
DEU,Europe,Germany,2020/4/13,130072,2218,3814
DEU,Europe,Germany,2020/4/14,131359,1287,3385.143
DEU,Europe,Germany,2020/4/15,134753,3394,3065.286
DEU,Europe,Germany,2020/4/16,137698,2945,2788.143
DEU,Europe,Germany,2020/4/17,141397,3699,2746.571
DEU,Europe,Germany,2020/4/18,143342,1945,2633.429
DEU,Europe,Germany,2020/4/19,145184,1842,2475.714
DEU,Europe,Germany,2020/4/20,147065,1881,2427.571
DEU,Europe,Germany,2020/4/21,148291,1226,2418.857
DEU,Europe,Germany,2020/4/22,150648,2357,2270.714
DEU,Europe,Germany,2020/4/23,153129,2481,2204.429
DEU,Europe,Germany,2020/4/24,154999,1870,1943.143
DEU,Europe,Germany,2020/4/25,156513,1514,1881.571
DEU,Europe,Germany,2020/4/26,157770,1257,1798
DEU,Europe,Germany,2020/4/27,158758,988,1670.429
DEU,Europe,Germany,2020/4/28,159912,1154,1660.143
DEU,Europe,Germany,2020/4/29,161539,1627,1555.857
DEU,Europe,Germany,2020/4/30,163009,1470,1411.429
DEU,Europe,Germany,2020/5/1,164077,1068,1296.857
DEU,Europe,Germany,2020/5/2,164967,890,1207.714
DEU,Europe,Germany,2020/5/3,165664,697,1127.714
DEU,Europe,Germany,2020/5/4,166152,488,1056.286
DEU,Europe,Germany,2020/5/5,167007,855,1013.571
DEU,Europe,Germany,2020/5/6,168162,1155,946.143
DEU,Europe,Germany,2020/5/7,169430,1268,917.286
DEU,Europe,Germany,2020/5/8,170588,1158,930.143
DEU,Europe,Germany,2020/5/9,171324,736,908.143
DEU,Europe,Germany,2020/5/10,171879,555,887.857
DEU,Europe,Germany,2020/5/11,172576,697,917.714
DEU,Europe,Germany,2020/5/12,173171,595,880.571
DEU,Europe,Germany,2020/5/13,174098,927,848
